1,37.196,6,6.19933333333333,,1000,1,6,37196
2,38.355,9,4.26166666666667,,1000,2,9,38355
4,40.211,19,2.11636842105263,,1000,4,19,40211
8,42.163,38,1.10955263157895,,1000,8,38,42163
16,44.819,80,0.5602375,,1000,16,80,44819
32,47.906,183,0.261781420765027,,1000,32,183,47906
64,51.853,410,0.126470731707317,,1000,64,410,51853
128,57.506,898,0.064037861915368,,1000,128,898,57506
256,66.302,2026,0.032725567620928,,1000,256,2026,66302
512,79.783,5025,0.015877213930348,,1000,512,5025,79783
1024,96.515,11133,0.008669271535076,,1000,1024,11133,96515
2048,117.017,28485,0.004108021765842,,1000,2048,28485,117017
