,,,,,,W,H,AVG,STD ERR
8,4,500,6864,31011,,8,4,13.728,7.875404752
12,4,500,12913,126436,,12,4,25.826,15.90194957
15,4,500,17214,208048,,15,4,34.428,20.39843131
8,8,500,12443,107497,,8,8,24.886,14.6626737
12,8,500,33546,975512,,12,8,67.092,44.17039733
15,8,500,52834,2.54E+06,,15,8,105.668,71.21165635
8,12,500,23170,456434,,8,12,46.34,30.2137055
12,12,500,92055,1.12E+07,,12,12,184.11,149.6489225
15,12,500,172331,4.00E+07,,15,12,344.662,282.9427504
8,16,500,40476,2.00E+06,,8,16,80.952,63.32345537
12,16,500,336616,1.86E+08,,12,16,673.232,609.3882178
15,16,500,872297,1.43E+09,,15,16,1744.594,1688.247612
8,20,500,74231,9.55E+06,,8,20,148.462,138.1853104
12,20,500,1247353,3.06E+09,,12,20,2494.706,2475.209082
15,20,500,5422021,4.92E+10,,15,20,10844.042,9923.618292
