-75, 50, 150, -200, -10100, 44420, 6.44638e+06
-100, 50, 150, -200, -10100, 45868, 8.27204e+06
-50, 50, 150, -200, -10100, 69019, 1.55899e+07
-10, 375, 150, -200, -10100, 45802, 9.90213e+06
-10, 500, 150, -200, -10100, 50047, 1.39978e+07
-10, 250, 150, -200, -10100, 96023, 6.17181e+07
-25, 50, 150, -200, -10100, 353222, 1.14556e+09
-10, 125, 150, -200, -10100, 401500, 1.62046e+09
-10, 50, 1500, -200, -10100, 792545, 5.79298e+09
-10, 50, 750, -200, -10100, 737484, 4.77179e+09
-10, 50, 1125, -200, -10100, 846264, 5.4189e+09
-10, 50, 150, -200, -10100, 972083, 8.58604e+09
-8, 50, 150, -200, -10100, 1133727, 1.24659e+10
-10, 50, 375, -200, -10100, 865095, 7.77994e+09
-2, 50, 150, -200, -10100, 1794017, 3.28329e+10
-5, 50, 150, -200, -10100, 1701743, 2.51935e+10
-10, 50, 150, -1500, -10100, 1026437, 9.96489e+09
-10, 50, 150, -200, -75100, 43430, 6.42928e+06
-10, 50, 150, -2000, -10100, 1178016, 1.11349e+10
-10, 50, 150, -200, -100100, 18850, 686037
-10, 40, 150, -200, -10100, 1161367, 1.47211e+10
-10, 50, 150, -1000, -10100, 1161723, 1.62886e+10
-1, 50, 150, -200, -10100, 2135423, 4.72114e+10
-10, 50, 150, -200, -10100, 1136160, 1.52318e+10
-10, 50, 150, -200, -50100, 212165, 3.81083e+08
-10, 50, 150, -500, -10100, 1255863, 1.48249e+10
-10, 50, 120, -200, -10100, 1073473, 1.44325e+10
-10, 50, 150, -200, -10100, 1069521, 1.01545e+10
-10, 25, 150, -200, -10100, 2021232, 3.30524e+10
-10, 50, 150, -160, -10100, 831592, 5.15547e+09
-10, 50, 150, -200, -10100, 1063793, 8.2631e+09
-10, 50, 150, -200, -8100, 900383, 8.01707e+09
-10, 50, 75, -200, -10100, 1281906, 1.45896e+10
-10, 50, 150, -100, -10100, 169392, 1.68586e+08
-10, 50, 150, -200, -10100, 967501, 8.99275e+09
-10, 50, 150, -200, -5100, 731245, 5.01518e+09
-10, 5, 150, -200, -10100, 4888749, 2.46885e+11
-10, 50, 150, -200, -25100, 4293158, 1.99698e+11
-10, 10, 150, -200, -10100, 5976958, 3.36134e+11
-10, 50, 15, -200, -10100, 1636512, 2.33542e+10
-10, 50, 150, -20, -10100, 10964, 89556
-10, 50, 30, -200, -10100, 1384023, 1.8926e+10
-10, 50, 150, -40, -10100, 22271, 1.26782e+06
-10, 50, 150, -200, -1100, 593397, 3.17554e+09
-10, 50, 150, -200, -2100, 710544, 5.20925e+09
